vehicle_type_id,model_year,make,model,ev_type
vm0175,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0176,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0177,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0178,2019,FIAT,500,Battery Electric Vehicle (BEV)
vm0179,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0180,2019,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV)
vm0181,2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV)
vm0182,2019,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV)
vm0183,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV)
vm0184,2019,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0185,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV)
vm0186,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0187,2019,KIA,NIRO,Battery Electric Vehicle (BEV)
vm0188,2019,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0189,2019,KIA,SOUL EV,Battery Electric Vehicle (BEV)
vm0190,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0191,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0192,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0193,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0194,2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0195,2019,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0196,2019,SMART,EQ FORTWO,Battery Electric Vehicle (BEV)
vm0197,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV)
vm0198,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0199,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0200,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0201,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0202,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV)
vm0203,2019,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0204,2019,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0205,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0206,2019,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0207,2020,AUDI,A8 E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0208,2020,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV)
vm0209,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0210,2020,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0211,2020,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0212,2020,BMW,I3,Battery Electric Vehicle (BEV)
vm0213,2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0214,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0215,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0216,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0217,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0218,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV)
vm0219,2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV)
vm0220,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV)
vm0221,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV)
vm0222,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV)
vm0223,2020,KIA,NIRO,Battery Electric Vehicle (BEV)
vm0224,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0225,2020,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0226,2020,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0227,2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0228,2020,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0229,2020,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0230,2020,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0231,2020,MINI,HARDTOP,Battery Electric Vehicle (BEV)
vm0232,2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0233,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0234,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0235,2020,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0236,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV)
vm0237,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0238,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0239,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0240,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0241,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0242,2020,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0243,2020,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0244,2020,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0245,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0246,2020,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0247,2021,AUDI,A7 E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0248,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV)
vm0249,2021,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV)
vm0250,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0251,2021,BENTLEY,BENTAYGA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0252,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0253,2021,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0254,2021,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0255,2021,BMW,I3,Battery Electric Vehicle (BEV)
vm0256,2021,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0257,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0258,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0259,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0260,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0261,2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0262,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0263,2021,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV)
vm0264,2021,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV)
vm0265,2021,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV)
vm0266,2021,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV)
vm0267,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0268,2021,KIA,NIRO,Battery Electric Vehicle (BEV)
vm0269,2021,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0270,2021,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0271,2021,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0272,2021,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0273,2021,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0274,2021,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0275,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV)
vm0276,2021,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0277,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0278,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV)
vm0279,2021,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0280,2021,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0281,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV)
vm0282,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0283,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0284,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0285,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0286,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0287,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0288,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV)
vm0289,2021,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0290,2021,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0291,2021,VOLVO,XC40,Battery Electric Vehicle (BEV)
vm0292,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0293,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0294,2022,AUDI,E-TRON,Battery Electric Vehicle (BEV)
vm0295,2022,AUDI,E-TRON GT,Battery Electric Vehicle (BEV)
vm0296,2022,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV)
vm0297,2022,AUDI,Q4,Battery Electric Vehicle (BEV)
vm0298,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0299,2022,AUDI,RS E-TRON GT,Battery Electric Vehicle (BEV)
vm0300,2022,BENTLEY,FLYING SPUR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0301,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0302,2022,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0303,2022,BMW,745LE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0304,2022,BMW,I4,Battery Electric Vehicle (BEV)
vm0305,2022,BMW,IX,Battery Electric Vehicle (BEV)
vm0306,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0307,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV)
vm0308,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0309,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0310,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0311,2022,FORD,F-150,Battery Electric Vehicle (BEV)
vm0312,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0313,2022,FORD,TRANSIT,Battery Electric Vehicle (BEV)
vm0314,2022,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV)
vm0315,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV)
vm0316,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV)
vm0317,2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0318,2022,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV)
vm0319,2022,JAGUAR,I-PACE,Battery Electric Vehicle (BEV)
vm0320,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0321,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0322,2022,KIA,EV6,Battery Electric Vehicle (BEV)
vm0323,2022,KIA,NIRO,Battery Electric Vehicle (BEV)
vm0324,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0325,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0326,2022,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0327,2022,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0328,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0329,2022,LUCID,AIR,Battery Electric Vehicle (BEV)
vm0330,2022,MAZDA,MX-30,Battery Electric Vehicle (BEV)
vm0331,2022,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV)
vm0332,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV)
vm0333,2022,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0334,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV)
vm0335,2022,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0336,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0337,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV)
vm0338,2022,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0339,2022,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0340,2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV)
vm0341,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV)
vm0342,2022,RIVIAN,R1S,Battery Electric Vehicle (BEV)
vm0343,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV)
vm0344,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0345,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0346,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0347,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0348,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0349,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0350,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV)
vm0351,2022,VOLVO,C40,Battery Electric Vehicle (BEV)
vm0352,2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0353,2022,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0354,2022,VOLVO,XC40,Battery Electric Vehicle (BEV)
vm0355,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0356,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0357,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV)
vm0358,2023,AUDI,E-TRON GT,Battery Electric Vehicle (BEV)
vm0359,2023,AUDI,Q4,Battery Electric Vehicle (BEV)
vm0360,2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0361,2023,AUDI,RS E-TRON GT,Battery Electric Vehicle (BEV)
vm0362,2023,BENTLEY,BENTAYGA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0363,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0364,2023,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0365,2023,BMW,I4,Battery Electric Vehicle (BEV)
vm0366,2023,BMW,I7,Battery Electric Vehicle (BEV)
vm0367,2023,BMW,IX,Battery Electric Vehicle (BEV)
vm0368,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0369,2023,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV)
vm0370,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV)
vm0371,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0372,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0373,2023,FISKER,OCEAN,Battery Electric Vehicle (BEV)
vm0374,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0375,2023,FORD,F-150,Battery Electric Vehicle (BEV)
vm0376,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0377,2023,FORD,TRANSIT,Battery Electric Vehicle (BEV)
vm0378,2023,GENESIS,G80,Battery Electric Vehicle (BEV)
vm0379,2023,GENESIS,GV60,Battery Electric Vehicle (BEV)
vm0380,2023,GENESIS,GV70,Battery Electric Vehicle (BEV)
vm0381,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV)
vm0382,2023,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV)
vm0383,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV)
vm0384,2023,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0385,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV)
vm0386,2023,JAGUAR,I-PACE,Battery Electric Vehicle (BEV)
vm0387,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0388,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0389,2023,KIA,EV6,Battery Electric Vehicle (BEV)
vm0390,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0391,2023,KIA,NIRO,Battery Electric Vehicle (BEV)
vm0392,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0393,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0394,2023,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0395,2023,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0396,2023,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0397,2023,LEXUS,RZ,Battery Electric Vehicle (BEV)
vm0398,2023,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0399,2023,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0400,2023,LUCID,AIR,Battery Electric Vehicle (BEV)
vm0401,2023,MAZDA,MX-30,Battery Electric Vehicle (BEV)
vm0402,2023,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV)
vm0403,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV)
